report_id;timestamp;capture_n;risk_score;risk_level;decision;rf_class;rf_confidence;n_critical;n_warnings;security_status;n_sec_events;latency_ms;packet_loss_pct;throughput_mbps;mos_proxy
RPT-20260504232631;2026-05-04 23:26:31;1;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;36.62;0.09;46.34;4.31
RPT-20260504232639;2026-05-04 23:26:39;2;35.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;182.47;2.31;31.75;3.36
RPT-20260504232647;2026-05-04 23:26:47;3;57.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;2;0;CLEAN;0;323.19;7.03;17.68;2.18
RPT-20260504232655;2026-05-04 23:26:55;4;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;47.23;0.28;45.28;4.24
RPT-20260504232703;2026-05-04 23:27:03;5;68.7;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;207.47;4.65;29.25;3.0
RPT-20260504232711;2026-05-04 23:27:11;6;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;55.1;0;44.49;4.22
RPT-20260504232719;2026-05-04 23:27:19;7;47.1;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;143.52;1.44;35.65;3.64
RPT-20260504232727;2026-05-04 23:27:27;8;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;31.82;0.17;46.82;4.32
RPT-20260504232735;2026-05-04 23:27:35;9;47.1;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;179.81;2.63;32.02;3.34
RPT-20260504232743;2026-05-04 23:27:43;10;68.7;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;322.33;6.8;17.77;2.21
RPT-20260504232751;2026-05-04 23:27:51;11;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;47.24;0;45.28;4.26
RPT-20260504232759;2026-05-04 23:27:59;12;68.7;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;210.54;4.47;28.95;3.0
RPT-20260504232807;2026-05-04 23:28:07;13;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;57.87;0;44.21;4.21
RPT-20260504232815;2026-05-04 23:28:15;14;47.1;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;157.0;1.71;34.3;3.54
RPT-20260504232823;2026-05-04 23:28:23;15;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;22.15;0.1;47.78;4.38
RPT-20260504232831;2026-05-04 23:28:31;16;47.1;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;181.9;2.24;31.81;3.37
RPT-20260504232839;2026-05-04 23:28:39;17;68.7;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;325.43;7.01;17.46;2.17
RPT-20260504232847;2026-05-04 23:28:47;18;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;51.25;0.24;44.87;4.22
RPT-20260504232855;2026-05-04 23:28:55;19;68.7;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;216.47;4.72;28.35;2.95
RPT-20260504232904;2026-05-04 23:29:03;20;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;66.16;0.22;43.38;4.15
RPT-20260504232911;2026-05-04 23:29:11;21;47.1;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;143.32;1.63;35.67;3.62
RPT-20260504232919;2026-05-04 23:29:19;22;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;22.06;0;47.79;4.39
RPT-20260504232927;2026-05-04 23:29:27;23;47.1;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;187.92;2.77;31.21;3.28
RPT-20260504232935;2026-05-04 23:29:35;24;68.7;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;313.56;6.82;18.64;2.25
RPT-20260504232943;2026-05-04 23:29:43;25;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;44.58;0;45.54;4.28
RPT-20260504232951;2026-05-04 23:29:51;26;68.7;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;205.21;4.24;29.48;3.05
RPT-20260504232959;2026-05-04 23:29:59;27;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;55.89;0;44.41;4.22
RPT-20260504233007;2026-05-04 23:30:07;28;47.1;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;157.08;1.79;34.29;3.54
RPT-20260504233015;2026-05-04 23:30:15;29;32.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;34.56;0.11;46.54;4.32
RPT-20260504233023;2026-05-04 23:30:23;30;30.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;173.31;2.79;32.67;3.35
RPT-20260504233031;2026-05-04 23:30:31;31;67.1;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;320.3;7.28;17.97;2.17
RPT-20260504233039;2026-05-04 23:30:39;32;29.6;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;51.52;0.33;44.85;4.21
RPT-20260504233047;2026-05-04 23:30:47;33;67.5;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;211.78;4.78;28.82;2.96
RPT-20260504233055;2026-05-04 23:30:55;34;29.6;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;67.81;0.29;43.22;4.13
RPT-20260504233103;2026-05-04 23:31:03;35;29.5;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;1;CLEAN;0;157.48;1.8;34.25;3.53
RPT-20260504233111;2026-05-04 23:31:11;36;29.5;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;35.22;0.06;46.48;4.32
RPT-20260504233119;2026-05-04 23:31:19;37;29.6;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;1;CLEAN;0;175.02;2.73;32.5;3.35
RPT-20260504233127;2026-05-04 23:31:27;38;68.2;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;324.18;7.19;17.58;2.16
RPT-20260504233135;2026-05-04 23:31:35;39;29.4;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;44.8;0.19;45.52;4.26
RPT-20260504233143;2026-05-04 23:31:43;40;68.6;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;205.57;4.78;29.44;2.99
RPT-20260504233151;2026-05-04 23:31:51;41;29.3;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;65.6;0.21;43.44;4.15
RPT-20260504233159;2026-05-04 23:31:59;42;29.3;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;1;CLEAN;0;143.68;1.74;35.63;3.61
RPT-20260504233207;2026-05-04 23:32:07;43;29.3;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;26.07;0;47.39;4.37
RPT-20260504233215;2026-05-04 23:32:15;44;29.3;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;1;CLEAN;0;183.16;2.67;31.68;3.32
RPT-20260504233223;2026-05-04 23:32:23;45;68.8;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;318.8;6.82;18.12;2.22
RPT-20260504233231;2026-05-04 23:32:31;46;29.1;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;43.14;0;45.69;4.28
RPT-20260504233239;2026-05-04 23:32:39;47;68.8;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;204.35;4.29;29.57;3.05
RPT-20260504233247;2026-05-04 23:32:47;48;29.1;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;61.43;0.28;43.86;4.17
RPT-20260504233255;2026-05-04 23:32:55;49;29.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;1;CLEAN;0;146.16;1.75;35.38;3.59
RPT-20260504233927;2026-05-04 23:39:27;1;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;30.01;0.03;47.0;4.35
RPT-20260504233935;2026-05-04 23:39:35;2;35.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;172.29;2.52;32.77;3.39
RPT-20260504233943;2026-05-04 23:39:43;3;57.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;2;0;CLEAN;0;313.52;7.04;18.65;2.23
RPT-20260504233951;2026-05-04 23:39:51;4;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;48.94;0.07;45.11;4.25
RPT-20260504233959;2026-05-04 23:39:59;5;68.2;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;211.46;4.31;28.85;3.01
RPT-20260504234007;2026-05-04 23:40:07;6;31.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;66.17;0.15;43.38;4.15
RPT-20260504234015;2026-05-04 23:40:15;7;46.6;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;151.08;1.47;34.89;3.6
RPT-20260504234023;2026-05-04 23:40:23;8;31.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;35.13;0;46.49;4.32
RPT-20260504234031;2026-05-04 23:40:31;9;46.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;175.32;2.65;32.47;3.36
RPT-20260504234039;2026-05-04 23:40:39;10;68.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;327.44;7.17;17.26;2.15
RPT-20260504234047;2026-05-04 23:40:47;11;31.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;40.19;0;45.98;4.3
RPT-20260504234055;2026-05-04 23:40:55;12;68.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;210.76;4.44;28.92;3.0
RPT-20260504234103;2026-05-04 23:41:03;13;31.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;59.13;0.05;44.09;4.2
RPT-20260504234111;2026-05-04 23:41:11;14;46.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;156.9;1.65;34.31;3.55
RPT-20260504234119;2026-05-04 23:41:19;15;31.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;22.85;0.15;47.71;4.37
RPT-20260504234127;2026-05-04 23:41:27;16;46.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;176.84;2.74;32.32;3.34
RPT-20260504235425;2026-05-04 23:54:25;1;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;26.54;0.06;47.35;4.36
RPT-20260504235433;2026-05-04 23:54:33;2;35.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;183.25;2.39;31.67;3.34
